hour,weighted_min_sum,pct_of_category,stratum,category
18,137465988084.04358,12.19,O1,eating
19,109507769424.27133,9.71,O1,eating
20,64648378239.31141,5.73,O1,eating
21,35483506292.56623,3.15,O1,eating
22,8820214622.428835,0.78,O1,eating
23,5136720865.75638,0.46,O1,eating
0,0.0,0.0,O1,exercise
1,0.0,0.0,O1,exercise
2,0.0,0.0,O1,exercise
3,0.0,0.0,O1,exercise
4,9215738063.425724,2.37,O1,exercise
5,23123011387.414253,5.94,O1,exercise
6,13457953384.662365,3.46,O1,exercise
7,18514669052.489536,4.76,O1,exercise
8,20098164924.837677,5.16,O1,exercise
9,25503433184.62966,6.55,O1,exercise
10,15434256753.845663,3.97,O1,exercise
11,17692371445.59842,4.55,O1,exercise
12,24559365695.942554,6.31,O1,exercise
13,36108114666.80691,9.28,O1,exercise
14,9478717314.518341,2.44,O1,exercise
15,18028213626.952538,4.63,O1,exercise
16,26508849688.599113,6.81,O1,exercise
17,42512845986.73004,10.92,O1,exercise
18,52266348834.81384,13.43,O1,exercise
19,21771456041.01014,5.59,O1,exercise
20,9558836591.83979,2.46,O1,exercise
21,1591974734.78039,0.41,O1,exercise
22,2845551192.4872,0.73,O1,exercise
23,903946351.3961359,0.23,O1,exercise
0,673442563059.5011,4.92,O2,sleeping
1,254980870208.71628,1.86,O2,sleeping
2,147170128328.66205,1.07,O2,sleeping
3,91837886547.40042,0.67,O2,sleeping
4,3646536868713.7925,26.62,O2,sleeping
5,38146811031.178444,0.28,O2,sleeping
6,14687164576.91959,0.11,O2,sleeping
7,37526548009.70077,0.27,O2,sleeping
8,19606022886.274643,0.14,O2,sleeping
9,13697784354.530025,0.1,O2,sleeping
10,21166762155.644115,0.15,O2,sleeping
11,28467960811.97711,0.21,O2,sleeping
12,52367972738.519714,0.38,O2,sleeping
13,66110557009.17021,0.48,O2,sleeping
14,57483872380.61904,0.42,O2,sleeping
15,44450382617.71538,0.32,O2,sleeping
16,34728989544.65001,0.25,O2,sleeping
17,43519957707.661095,0.32,O2,sleeping
18,75830731971.03767,0.55,O2,sleeping
19,314410341619.04395,2.3,O2,sleeping
20,736228199070.5352,5.37,O2,sleeping
21,2094926687683.4778,15.29,O2,sleeping
22,3127161796241.6147,22.83,O2,sleeping
23,2064032793589.1064,15.07,O2,sleeping
0,858213421.8392301,0.1,O2,food_prep
1,0.0,0.0,O2,food_prep
2,0.0,0.0,O2,food_prep
3,0.0,0.0,O2,food_prep
4,9558494594.1855,1.08,O2,food_prep
5,15311450802.488255,1.74,O2,food_prep
6,34851381373.79091,3.96,O2,food_prep
7,83598710614.64935,9.49,O2,food_prep
8,115581718082.96223,13.12,O2,food_prep
9,98782553610.228,11.21,O2,food_prep
10,99982824885.78502,11.35,O2,food_prep
11,72408129091.83443,8.22,O2,food_prep
12,82697326171.21077,9.39,O2,food_prep
13,79806287586.82684,9.06,O2,food_prep
14,42202469966.8829,4.79,O2,food_prep
15,47671740514.06332,5.41,O2,food_prep
16,21115590000.538647,2.4,O2,food_prep
17,21651469241.70921,2.46,O2,food_prep
18,19958361247.183823,2.27,O2,food_prep
19,19451967700.593174,2.21,O2,food_prep
20,8659097166.030165,0.98,O2,food_prep
21,3733595737.795834,0.42,O2,food_prep
22,2944848017.107913,0.33,O2,food_prep
23,265476792.512296,0.03,O2,food_prep
0,101739569.48743,1.24,O2,laundry
1,0.0,0.0,O2,laundry
2,0.0,0.0,O2,laundry
3,0.0,0.0,O2,laundry
4,0.0,0.0,O2,laundry
5,0.0,0.0,O2,laundry
6,71746430.877525,0.87,O2,laundry
7,305203260.0366,3.71,O2,laundry
8,62575155.380667,0.76,O2,laundry
9,115723673.682948,1.41,O2,laundry
10,303063981.68199,3.68,O2,laundry
11,666723180.866435,8.1,O2,laundry
12,190332081.37784,2.31,O2,laundry
13,556969948.50463,6.77,O2,laundry
14,228111380.59230998,2.77,O2,laundry
15,799942258.983825,9.72,O2,laundry
16,1033015565.099115,12.55,O2,laundry
17,2592870714.92381,31.5,O2,laundry
18,394571766.49695903,4.79,O2,laundry
19,81537739.98771,0.99,O2,laundry
20,707771379.474131,8.6,O2,laundry
21,0.0,0.0,O2,laundry
22,0.0,0.0,O2,laundry
23,20347913.897486,0.25,O2,laundry
0,57126379.87082,0.01,O2,tv
1,0.0,0.0,O2,tv
2,158889834.03702,0.03,O2,tv
3,1156021519.330935,0.21,O2,tv
4,3859612318.42138,0.71,O2,tv
5,6166334082.94388,1.14,O2,tv
6,15511570846.516155,2.86,O2,tv
7,27312031935.519207,5.04,O2,tv
8,23107606508.78512,4.26,O2,tv
9,45472339575.41435,8.39,O2,tv
10,27913731797.40795,5.15,O2,tv
11,39439290164.528854,7.28,O2,tv
12,45251613101.96913,8.35,O2,tv
13,41464602697.56496,7.65,O2,tv
14,58635821788.75853,10.82,O2,tv
15,63274683011.52422,11.68,O2,tv
16,37047232832.00141,6.84,O2,tv
17,22806337330.27909,4.21,O2,tv
18,33889191175.975067,6.25,O2,tv
19,19347306553.626175,3.57,O2,tv
20,17233050515.319996,3.18,O2,tv
21,6707559123.058216,1.24,O2,tv
22,4991896994.2566595,0.92,O2,tv
23,999936852.434255,0.18,O2,tv
0,974918805.641655,2.11,O2,work
1,0.0,0.0,O2,work
2,0.0,0.0,O2,work
3,0.0,0.0,O2,work
4,845929573.38333,1.83,O2,work
5,2846239938.8640003,6.16,O2,work
6,5919217235.5031395,12.81,O2,work
7,7883612820.27177,17.06,O2,work
8,3478080141.8136854,7.53,O2,work
9,0.0,0.0,O2,work
10,7658221793.873879,16.57,O2,work
11,192573618.62691,0.42,O2,work
12,317325905.6172,0.69,O2,work
13,6297841500.4713,13.63,O2,work
14,3041074053.19734,6.58,O2,work
15,3841848730.604775,8.31,O2,work
16,0.0,0.0,O2,work
17,1639620226.794056,3.55,O2,work
18,372200983.48254,0.81,O2,work
19,628772179.8459,1.36,O2,work
20,0.0,0.0,O2,work
21,155083743.117725,0.34,O2,work
22,0.0,0.0,O2,work
23,121855998.771645,0.26,O2,work
0,738238312.490385,0.05,O2,eating
1,1413750392.783895,0.09,O2,eating
2,1501359050.71782,0.1,O2,eating
3,1759372154.2096648,0.11,O2,eating
4,6324123970.314535,0.4,O2,eating
5,22710943792.932957,1.45,O2,eating
6,72713458452.4925,4.63,O2,eating
7,133077511249.58813,8.48,O2,eating
8,124923990596.83084,7.96,O2,eating
9,73935915105.93677,4.71,O2,eating
10,69550244984.06822,4.43,O2,eating
11,111088074523.3274,7.08,O2,eating
12,154623593122.9753,9.85,O2,eating
13,78868958905.9015,5.03,O2,eating
14,55444340104.30976,3.53,O2,eating
15,43350107416.817154,2.76,O2,eating
16,97119992529.16647,6.19,O2,eating
17,193996343312.29672,12.36,O2,eating
18,201501493101.03967,12.84,O2,eating
19,80679026452.05222,5.14,O2,eating
20,25596930157.196407,1.63,O2,eating
21,11794740356.480986,0.75,O2,eating
22,4212647367.05856,0.27,O2,eating
23,2503932501.64391,0.16,O2,eating
0,0.0,0.0,O2,exercise
1,0.0,0.0,O2,exercise
2,482144924.66448003,0.11,O2,exercise
3,723217386.9967201,0.17,O2,exercise
4,947532982.46932,0.22,O2,exercise
5,12271766049.434334,2.9,O2,exercise
6,14332248414.07223,3.39,O2,exercise
7,47374485581.45296,11.21,O2,exercise
8,65706234254.215935,15.54,O2,exercise
9,48251386484.39938,11.41,O2,exercise
10,49746665488.34069,11.77,O2,exercise
11,30474921206.936607,7.21,O2,exercise
12,23641993062.424583,5.59,O2,exercise
13,28291443362.714355,6.69,O2,exercise
14,25259346437.97746,5.97,O2,exercise
15,20618032675.76089,4.88,O2,exercise
16,17480879994.64339,4.14,O2,exercise
17,16232970223.36644,3.84,O2,exercise
18,7269380736.815038,1.72,O2,exercise
19,7894224041.622915,1.87,O2,exercise
20,3618715362.2339897,0.86,O2,exercise
21,1355220655.213563,0.32,O2,exercise
22,395323010.72948,0.09,O2,exercise
23,385579091.08863,0.09,O2,exercise
0,857697485967.8777,4.88,O3,sleeping
1,182557449655.79413,1.04,O3,sleeping
2,93332755590.65884,0.53,O3,sleeping
3,79838784003.59398,0.45,O3,sleeping
4,4107090345940.595,23.35,O3,sleeping
5,30671282071.548233,0.17,O3,sleeping
6,37698894877.76724,0.21,O3,sleeping
7,50273198110.36944,0.29,O3,sleeping
8,56709183719.475685,0.32,O3,sleeping
9,32247861016.6776,0.18,O3,sleeping
10,10002611845.753105,0.06,O3,sleeping
11,27696497084.563953,0.16,O3,sleeping
12,45673109650.63144,0.26,O3,sleeping
13,44521811582.538826,0.25,O3,sleeping
14,28533040814.108154,0.16,O3,sleeping
15,33966041928.97504,0.19,O3,sleeping
16,33720052432.691376,0.19,O3,sleeping
17,31350143883.20588,0.18,O3,sleeping
18,220700956702.90848,1.25,O3,sleeping
19,414759010279.58875,2.36,O3,sleeping
20,1344237340176.795,7.64,O3,sleeping
21,3596715571532.36,20.45,O3,sleeping
22,4182040338969.363,23.78,O3,sleeping
23,2044015858837.5977,11.62,O3,sleeping
0,573443131.95723,0.07,O3,food_prep
1,144925045.36067998,0.02,O3,food_prep
2,1046322075.2606401,0.13,O3,food_prep
3,324222711.5148,0.04,O3,food_prep
4,4264274522.9853,0.51,O3,food_prep
5,8535943648.444544,1.02,O3,food_prep
6,34724006546.69878,4.16,O3,food_prep
7,80189481772.63129,9.62,O3,food_prep
8,96781633487.3803,11.6,O3,food_prep
9,99455105440.79314,11.93,O3,food_prep
10,68804989444.23985,8.25,O3,food_prep
11,42243062961.75104,5.07,O3,food_prep
12,47603043370.03462,5.71,O3,food_prep
13,49566933066.967705,5.94,O3,food_prep
14,36649480133.54621,4.39,O3,food_prep
15,47734094390.18157,5.72,O3,food_prep
16,42244708439.02743,5.07,O3,food_prep
17,36716071030.230804,4.4,O3,food_prep
18,23467955458.373405,2.81,O3,food_prep
19,39316413629.801155,4.71,O3,food_prep
20,36473339497.124954,4.37,O3,food_prep
21,23678893592.04927,2.84,O3,food_prep
22,6752043024.531296,0.81,O3,food_prep
23,6699576942.57797,0.8,O3,food_prep
0,0.0,0.0,O3,laundry
1,0.0,0.0,O3,laundry
2,0.0,0.0,O3,laundry
3,0.0,0.0,O3,laundry
4,0.0,0.0,O3,laundry
5,18911425.674275,0.15,O3,laundry
6,357787436.46817,2.84,O3,laundry
7,494400015.091243,3.93,O3,laundry
8,1358402708.291655,10.8,O3,laundry
9,357288198.18601,2.84,O3,laundry
10,0.0,0.0,O3,laundry
11,147778707.706548,1.17,O3,laundry
12,60822588.66065999,0.48,O3,laundry
13,154266510.74607503,1.23,O3,laundry
14,345466753.038297,2.75,O3,laundry
15,107235708.28962,0.85,O3,laundry
16,1500428154.4245071,11.93,O3,laundry
17,3504625489.77924,27.86,O3,laundry
18,2081967003.51558,16.55,O3,laundry
19,707274454.1217699,5.62,O3,laundry
20,402342279.592555,3.2,O3,laundry
21,419642010.836084,3.34,O3,laundry
22,0.0,0.0,O3,laundry
23,561424766.8287001,4.46,O3,laundry
0,7397577807.004725,1.59,O3,tv
1,963292447.95258,0.21,O3,tv
2,308378513.049345,0.07,O3,tv
3,119310058.48872,0.03,O3,tv
4,7930830865.137865,1.7,O3,tv
5,5087980137.72525,1.09,O3,tv
6,13942601356.474976,2.99,O3,tv
7,22742398383.41856,4.88,O3,tv
8,12787442918.219376,2.74,O3,tv
9,16608643699.108747,3.56,O3,tv
10,16795348204.603848,3.6,O3,tv
11,23449798855.665775,5.03,O3,tv
12,26154280379.279892,5.61,O3,tv
13,16715297070.551517,3.58,O3,tv
14,46713486395.02556,10.02,O3,tv
15,75502561657.73122,16.19,O3,tv
16,35515012935.582886,7.62,O3,tv
17,31207724808.016712,6.69,O3,tv
18,32745983840.39492,7.02,O3,tv
19,29221395275.659405,6.27,O3,tv
20,26768752473.359467,5.74,O3,tv
21,9213303959.772095,1.98,O3,tv
22,7439273095.21115,1.6,O3,tv
23,967888117.916875,0.21,O3,tv
0,18837995432.49812,0.22,O3,work
1,12496030888.700565,0.14,O3,work
2,9666185705.800999,0.11,O3,work
3,30661201268.51825,0.35,O3,work
4,309474798265.1023,3.56,O3,work
5,357991587079.13477,4.12,O3,work
6,814506099480.4504,9.37,O3,work
7,1434188959075.5457,16.51,O3,work
8,1288303812942.271,14.83,O3,work
9,669071686941.1202,7.7,O3,work
10,321856245552.9751,3.7,O3,work
11,389089598229.0878,4.48,O3,work
12,994205576345.6681,11.44,O3,work
13,878191508114.8545,10.11,O3,work
14,280012848773.9027,3.22,O3,work
15,276902983219.98517,3.19,O3,work
16,155013587282.9526,1.78,O3,work
17,91545539983.36034,1.05,O3,work
18,84759869904.67374,0.98,O3,work
19,83147773568.31934,0.96,O3,work
20,82925900198.41298,0.95,O3,work
21,40614016568.598915,0.47,O3,work
22,47103295371.285,0.54,O3,work
23,17897481758.648235,0.21,O3,work
0,1999926171.8762002,0.11,O3,eating
1,1037952480.815004,0.06,O3,eating
2,5803172032.184865,0.32,O3,eating
3,477782614.7996501,0.03,O3,eating
4,3808861608.43721,0.21,O3,eating
5,25038823696.719524,1.39,O3,eating
6,56406294577.40298,3.14,O3,eating
7,79049628754.29582,4.4,O3,eating
8,76435412631.84663,4.26,O3,eating
9,59002976191.48493,3.29,O3,eating
10,55307906185.48875,3.08,O3,eating
11,113898824752.881,6.34,O3,eating
12,276592636111.0727,15.41,O3,eating
13,90373081195.31593,5.03,O3,eating
14,54295050581.59163,3.02,O3,eating
15,44512417071.13712,2.48,O3,eating
16,84626260293.65181,4.71,O3,eating
17,207927395983.65717,11.58,O3,eating
18,271996036247.77817,15.15,O3,eating
19,165818940380.49734,9.24,O3,eating
20,78394654436.02269,4.37,O3,eating
21,27362159823.311016,1.52,O3,eating
22,11961810296.891863,0.67,O3,eating
23,3256423670.0586147,0.18,O3,eating
0,0.0,0.0,O3,exercise
1,0.0,0.0,O3,exercise
2,0.0,0.0,O3,exercise
3,0.0,0.0,O3,exercise
4,13422299835.61033,2.57,O3,exercise
5,21053981812.668,4.04,O3,exercise
6,33868536666.8528,6.49,O3,exercise
7,44267714477.83066,8.49,O3,exercise
8,45347469765.07736,8.69,O3,exercise
9,31683686162.45631,6.07,O3,exercise
10,28243892011.47187,5.42,O3,exercise
11,20229134119.386066,3.88,O3,exercise
12,44060836201.54594,8.45,O3,exercise
13,19939931811.32198,3.82,O3,exercise
14,20048025827.492474,3.84,O3,exercise
15,26882647278.608376,5.15,O3,exercise
16,39861768094.34514,7.64,O3,exercise
17,67138961913.885956,12.87,O3,exercise
18,22139864646.89254,4.24,O3,exercise
19,30800257875.07571,5.91,O3,exercise
20,9356997784.02062,1.79,O3,exercise
21,2829398412.87591,0.54,O3,exercise
22,386947169.26002,0.07,O3,exercise
23,0.0,0.0,O3,exercise
0,58523485015.768524,5.38,O4,sleeping
1,44254767735.45513,4.07,O4,sleeping
2,25269213603.517982,2.32,O4,sleeping
3,12023649546.510645,1.11,O4,sleeping
4,325226172213.43524,29.9,O4,sleeping
5,0.0,0.0,O4,sleeping
6,630239442.37392,0.06,O4,sleeping
7,2145792536.4534419,0.2,O4,sleeping
8,4035254730.7284904,0.37,O4,sleeping
9,9512215981.644941,0.87,O4,sleeping
10,3079849307.15443,0.28,O4,sleeping
11,0.0,0.0,O4,sleeping
12,3479399160.133256,0.32,O4,sleeping
13,397247082.04014,0.04,O4,sleeping
14,6284807002.09428,0.58,O4,sleeping
15,9846660202.134169,0.91,O4,sleeping
16,6913436665.64652,0.64,O4,sleeping
17,0.0,0.0,O4,sleeping
18,803438949.6924601,0.07,O4,sleeping
19,47726862296.17653,4.39,O4,sleeping
20,61630780880.471535,5.67,O4,sleeping
21,113100396931.24695,10.4,O4,sleeping
22,222035582932.63455,20.42,O4,sleeping
23,130635657148.26553,12.01,O4,sleeping
0,0.0,0.0,O4,food_prep
1,0.0,0.0,O4,food_prep
2,0.0,0.0,O4,food_prep
3,0.0,0.0,O4,food_prep
